title,section,clean_title,tokens
U.Va.’s Days on the Lawn welcomes prospective class of 2029 students,News,uvas days on the lawn welcomes prospective class of  students,"['uvas', 'day', 'lawn', 'welcome', 'prospective', 'class', 'student']"
University organizations to host a series of events celebrating Black History Month,News,university organizations to host a series of events celebrating black history month,"['university', 'organization', 'host', 'series', 'event', 'celebrating', 'black', 'history', 'month']"
Health System Board hears from new U.Va. Health CEO Mitch Rosner,News,health system board hears from new uva health ceo mitch rosner,"['health', 'system', 'board', 'hears', 'new', 'uva', 'health', 'ceo', 'mitch', 'rosner']"
University modifies capacity restrictions for the Hill ahead of Saturday game,News,university modifies capacity restrictions for the hill ahead of saturday game,"['university', 'modifies', 'capacity', 'restriction', 'hill', 'ahead', 'saturday', 'game']"
Students share their reactions to emergency lockdowns issued by the University,News,students share their reactions to emergency lockdowns issued by the university,"['student', 'share', 'reaction', 'emergency', 'lockdown', 'issued', 'university']"
Protesters gather on the Lawn to express objection to Trump administration Compact,News,protesters gather on the lawn to express objection to trump administration compact,"['protester', 'gather', 'lawn', 'express', 'objection', 'trump', 'administration', 'compact']"
Student and staff organizations host Labor Day Teach-In protest,News,student and staff organizations host labor day teachin protest,"['student', 'staff', 'organization', 'host', 'labor', 'day', 'teachin', 'protest']"
Construction begins on new Karsh Institute of Democracy center,News,construction begins on new karsh institute of democracy center,"['construction', 'begin', 'new', 'karsh', 'institute', 'democracy', 'center']"
Student Council discussed University relations with U.Va. College at Wise,News,student council discussed university relations with uva college at wise,"['student', 'council', 'discussed', 'university', 'relation', 'uva', 'college', 'wise']"
Burglary reported on 800 block of West Main Street,News,burglary reported on  block of west main street,"['burglary', 'reported', 'block', 'west', 'main', 'street']"
Finance Committee approves 2024-25 operating budget and Major Capital Plan,News,finance committee approves  operating budget and major capital plan,"['finance', 'committee', 'approves', 'operating', 'budget', 'major', 'capital', 'plan']"
President Ryan signs collective statement condemning Trump administration,News,president ryan signs collective statement condemning trump administration,"['president', 'ryan', 'sign', 'collective', 'statement', 'condemning', 'trump', 'administration']"
"Va. Senate Democrats sue Rector Hardie, others over Youngkin appointees",News,va senate democrats sue rector hardie others over youngkin appointees,"['va', 'senate', 'democrat', 'sue', 'rector', 'hardie', 'others', 'youngkin', 'appointee']"
"ResetUVA, Wahoos4UVA express polar views on University leadership",News,resetuva wahoosuva express polar views on university leadership,"['resetuva', 'wahoosuva', 'express', 'polar', 'view', 'university', 'leadership']"
From the Archives: Kicking off the Season,News,from the archives kicking off the season,"['archive', 'kicking', 'season']"
10 years later — student journalists discuss retracted “Rolling Stone” article,News, years later  student journalists discuss retracted rolling stone article,"['year', 'later', 'student', 'journalist', 'discus', 'retracted', 'rolling', 'stone', 'article']"
President Jim Ryan to meet graduate students and address payment concerns,News,president jim ryan to meet graduate students and address payment concerns,"['president', 'jim', 'ryan', 'meet', 'graduate', 'student', 'address', 'payment', 'concern']"
An in-depth look at why the DOJ accused U.Va. of mishandling antisemitism,News,an indepth look at why the doj accused uva of mishandling antisemitism,"['indepth', 'look', 'doj', 'accused', 'uva', 'mishandling', 'antisemitism']"
Faculty Senate hears from administrators on President Trump’s executive orders,News,faculty senate hears from administrators on president trumps executive orders,"['faculty', 'senate', 'hears', 'administrator', 'president', 'trump', 'executive', 'order']"
From the archives: Nov. 18 – Nov. 24,News,from the archives nov   nov ,"['archive', 'nov', 'nov']"
Senior VP for Operations Colette Sheehy looks back at her career at the University,News,senior vp for operations colette sheehy looks back at her career at the university,"['senior', 'vp', 'operation', 'colette', 'sheehy', 'look', 'back', 'career', 'university']"
From the archives: Mar. 4 – Mar. 10,News,from the archives mar   mar ,"['archive', 'mar', 'mar']"
Bert Ellis reflects on time as member of Board of Visitors,News,bert ellis reflects on time as member of board of visitors,"['bert', 'elli', 'reflects', 'time', 'member', 'board', 'visitor']"
"“ACE Vision” focuses on amplifying voices, collective action and efficiency",News,ace vision focuses on amplifying voices collective action and efficiency,"['ace', 'vision', 'focus', 'amplifying', 'voice', 'collective', 'action', 'efficiency']"
New 7 Day Junior location opens on West Main Street,News,new  day junior location opens on west main street,"['new', 'day', 'junior', 'location', 'open', 'west', 'main', 'street']"
Faculty Senate react to “ceasefire” agreement with the Justice Department,News,faculty senate react to ceasefire agreement with the justice department,"['faculty', 'senate', 'react', 'ceasefire', 'agreement', 'justice', 'department']"
Active attacker detained by police,News,active attacker detained by police,"['active', 'attacker', 'detained', 'police']"
Honor Committee approves Title IX bylaw and welcomes new members,News,honor committee approves title ix bylaw and welcomes new members,"['honor', 'committee', 'approves', 'title', 'ix', 'bylaw', 'welcome', 'new', 'member']"
Honor Committee approves new pre-sanctioning process,News,honor committee approves new presanctioning process,"['honor', 'committee', 'approves', 'new', 'presanctioning', 'process']"
School of Law classmates’ differing views on diversity led to Ryan’s resignation,News,school of law classmates differing views on diversity led to ryans resignation,"['school', 'law', 'classmate', 'differing', 'view', 'diversity', 'led', 'ryans', 'resignation']"
"Blocked Youngkin Board appointees are not allowed to serve, judge rules",News,blocked youngkin board appointees are not allowed to serve judge rules,"['blocked', 'youngkin', 'board', 'appointee', 'allowed', 'serve', 'judge', 'rule']"
Students gather for memorial events on third anniversary of Nov. 13 shooting,News,students gather for memorial events on third anniversary of nov  shooting,"['student', 'gather', 'memorial', 'event', 'third', 'anniversary', 'nov', 'shooting']"
Charlottesville Del. Katrina Callsen awaits action on bipartisan bills,News,charlottesville del katrina callsen awaits action on bipartisan bills,"['charlottesville', 'del', 'katrina', 'callsen', 'awaits', 'action', 'bipartisan', 'bill']"
How Youngkin reshaped Virginia during his term,News,how youngkin reshaped virginia during his term,"['youngkin', 'reshaped', 'virginia', 'term']"
From the Archives: Back to School,News,from the archives back to school,"['archive', 'back', 'school']"
New UJC Chair Allison McVey to prioritize student agency,News,new ujc chair allison mcvey to prioritize student agency,"['new', 'ujc', 'chair', 'allison', 'mcvey', 'prioritize', 'student', 'agency']"
Student Council discusses potential voting power for student representative on BOV,News,student council discusses potential voting power for student representative on bov,"['student', 'council', 'discusses', 'potential', 'voting', 'power', 'student', 'representative', 'bov']"
The Virginia Guide Service: Where are they now?,News,the virginia guide service where are they now,"['virginia', 'guide', 'service']"
Committee on the College at Wise approves new masters program,News,committee on the college at wise approves new masters program,"['committee', 'college', 'wise', 'approves', 'new', 'master', 'program']"
Guide Service breaks from U.Va. to give unsanctioned historical tours,News,guide service breaks from uva to give unsanctioned historical tours,"['guide', 'service', 'break', 'uva', 'give', 'unsanctioned', 'historical', 'tour']"
Students prepare to celebrate the Muslim holy month of Ramadan at U.Va.,News,students prepare to celebrate the muslim holy month of ramadan at uva,"['student', 'prepare', 'celebrate', 'muslim', 'holy', 'month', 'ramadan', 'uva']"
How will U.Va. select the next dean of students?,News,how will uva select the next dean of students,"['uva', 'select', 'next', 'dean', 'student']"
Did U.Va. violate freedom of information law during Friday’s Board meeting?,News,did uva violate freedom of information law during fridays board meeting,"['uva', 'violate', 'freedom', 'information', 'law', 'friday', 'board', 'meeting']"
"Activist Mary Beth Tinker discusses youth activism, importance of free speech",News,activist mary beth tinker discusses youth activism importance of free speech,"['activist', 'mary', 'beth', 'tinker', 'discusses', 'youth', 'activism', 'importance', 'free', 'speech']"
Student Council establishes Residential College Coalition,News,student council establishes residential college coalition,"['student', 'council', 'establishes', 'residential', 'college', 'coalition']"
UJC finalizes 15 cases in spring semester,News,ujc finalizes  cases in spring semester,"['ujc', 'finalizes', 'case', 'spring', 'semester']"
Why a judge ruled against allowing Youngkin appointees to serve,News,why a judge ruled against allowing youngkin appointees to serve,"['judge', 'ruled', 'allowing', 'youngkin', 'appointee', 'serve']"
Clay Dickerson sworn in as Student Council president for the 2025-2026 term,News,clay dickerson sworn in as student council president for the  term,"['clay', 'dickerson', 'sworn', 'student', 'council', 'president', 'term']"
Buildings and Grounds Committee approves revisions to Major Capital Plan,News,buildings and grounds committee approves revisions to major capital plan,"['building', 'ground', 'committee', 'approves', 'revision', 'major', 'capital', 'plan']"
Mitchell Rosner appointed long-term CEO of U.Va. Health,News,mitchell rosner appointed longterm ceo of uva health,"['mitchell', 'rosner', 'appointed', 'longterm', 'ceo', 'uva', 'health']"
University Police Department reports increase in bicycle and scooter thefts,News,university police department reports increase in bicycle and scooter thefts,"['university', 'police', 'department', 'report', 'increase', 'bicycle', 'scooter', 'theft']"
"Student Health and Wellness confirms small spike in Hand, Foot and Mouth Disease",News,student health and wellness confirms small spike in hand foot and mouth disease,"['student', 'health', 'wellness', 'confirms', 'small', 'spike', 'hand', 'foot', 'mouth', 'disease']"
Virginia’s gubernatorial race likely to result in first female governor of Virginia,News,virginias gubernatorial race likely to result in first female governor of virginia,"['virginia', 'gubernatorial', 'race', 'likely', 'result', 'first', 'female', 'governor', 'virginia']"
Honor Committee reflects on the successes and difficulties of Honor Week,News,honor committee reflects on the successes and difficulties of honor week,"['honor', 'committee', 'reflects', 'success', 'difficulty', 'honor', 'week']"
Task Force on Religious Diversity and Belonging delivers recommendations,News,task force on religious diversity and belonging delivers recommendations,"['task', 'force', 'religious', 'diversity', 'belonging', 'delivers', 'recommendation']"
HRL changes staff housing assignment process,News,hrl changes staff housing assignment process,"['hrl', 'change', 'staff', 'housing', 'assignment', 'process']"
Students share their experiences with the subleasing process in Charlottesville,News,students share their experiences with the subleasing process in charlottesville,"['student', 'share', 'experience', 'subleasing', 'process', 'charlottesville']"
Finance Committee receives annual report from UVIMCO,News,finance committee receives annual report from uvimco,"['finance', 'committee', 'receives', 'annual', 'report', 'uvimco']"
HRL preassigns 25 percent of returning resident advisors for 2024-25 academic year,News,hrl preassigns  percent of returning resident advisors for  academic year,"['hrl', 'preassigns', 'percent', 'returning', 'resident', 'advisor', 'academic', 'year']"
Kappa Sigma’s FOA terminated after investigation reveals several hazing incidents,News,kappa sigmas foa terminated after investigation reveals several hazing incidents,"['kappa', 'sigma', 'foa', 'terminated', 'investigation', 'reveals', 'several', 'hazing', 'incident']"
"Student Council debates resolution for increased allergen transparency, reviews summer budget",News,student council debates resolution for increased allergen transparency reviews summer budget,"['student', 'council', 'debate', 'resolution', 'increased', 'allergen', 'transparency', 'review', 'summer', 'budget']"
University creates guidelines to grapple with growing presence of AI technology,News,university creates guidelines to grapple with growing presence of ai technology,"['university', 'creates', 'guideline', 'grapple', 'growing', 'presence', 'ai', 'technology']"
"Finance Committee hears from UVIMCO on endowment growth, divestment decision",News,finance committee hears from uvimco on endowment growth divestment decision,"['finance', 'committee', 'hears', 'uvimco', 'endowment', 'growth', 'divestment', 'decision']"
Civil Discourse Initiative hosts gubernatorial race discussion as election day approaches,News,civil discourse initiative hosts gubernatorial race discussion as election day approaches,"['civil', 'discourse', 'initiative', 'host', 'gubernatorial', 'race', 'discussion', 'election', 'day', 'approach']"
Virginia Supreme Court refuses appeal in university appointments case,News,virginia supreme court refuses appeal in university appointments case,"['virginia', 'supreme', 'court', 'refuse', 'appeal', 'university', 'appointment', 'case']"
Student Council passes vote of no confidence in the Board of Visitors,News,student council passes vote of no confidence in the board of visitors,"['student', 'council', 'pass', 'vote', 'confidence', 'board', 'visitor']"
Buildings and Grounds Committee approves 2025 Major Capital Plan,News,buildings and grounds committee approves  major capital plan,"['building', 'ground', 'committee', 'approves', 'major', 'capital', 'plan']"
University sees historic all-women leadership in student governance organizations,News,university sees historic allwomen leadership in student governance organizations,"['university', 'see', 'historic', 'allwomen', 'leadership', 'student', 'governance', 'organization']"
"Just before its rejection, 40 Law faculty said the Compact was unconstitutional",News,just before its rejection  law faculty said the compact was unconstitutional,"['rejection', 'law', 'faculty', 'said', 'compact', 'unconstitutional']"
From the Archives: Halloween on Grounds,News,from the archives halloween on grounds,"['archive', 'halloween', 'ground']"
Virginia state legislators discuss policies and social issues at Center for Politics event,News,virginia state legislators discuss policies and social issues at center for politics event,"['virginia', 'state', 'legislator', 'discus', 'policy', 'social', 'issue', 'center', 'politics', 'event']"
Honor Committee plans for a series of events during finals season,News,honor committee plans for a series of events during finals season,"['honor', 'committee', 'plan', 'series', 'event', 'final', 'season']"
"Student Council passes bill for Ramadan accommodations, hears from Hoos First",News,student council passes bill for ramadan accommodations hears from hoos first,"['student', 'council', 'pass', 'bill', 'ramadan', 'accommodation', 'hears', 'hoos', 'first']"
From the archives: Oct. 7 – Oct. 13,News,from the archives oct   oct ,"['archive', 'oct', 'oct']"
Honor Committee reflects on success of Lighting of the Lawn Committee co-sponsorship,News,honor committee reflects on success of lighting of the lawn committee cosponsorship,"['honor', 'committee', 'reflects', 'success', 'lighting', 'lawn', 'committee', 'cosponsorship']"
Honor Committee elects new executive committee members,News,honor committee elects new executive committee members,"['honor', 'committee', 'elect', 'new', 'executive', 'committee', 'member']"
Honor Committee discusses potential collaboration with other universities,News,honor committee discusses potential collaboration with other universities,"['honor', 'committee', 'discusses', 'potential', 'collaboration', 'university']"
From the Archives: Technology Advancements,News,from the archives technology advancements,"['archive', 'technology', 'advancement']"
Miller Center event hosts international judges to discuss global security and rule of law,News,miller center event hosts international judges to discuss global security and rule of law,"['miller', 'center', 'event', 'host', 'international', 'judge', 'discus', 'global', 'security', 'rule', 'law']"
"BREAKING: Two fraternities suspended, one terminated after hazing allegations",News,breaking two fraternities suspended one terminated after hazing allegations,"['breaking', 'two', 'fraternity', 'suspended', 'one', 'terminated', 'hazing', 'allegation']"
"Republican Lt. Gov. Candidate John Reid speaks on economy, education and culture war",News,republican lt gov candidate john reid speaks on economy education and culture war,"['republican', 'lt', 'gov', 'candidate', 'john', 'reid', 'speaks', 'economy', 'education', 'culture', 'war']"
"Buildings and Grounds Committee approves student housing, discusses new arts center",News,buildings and grounds committee approves student housing discusses new arts center,"['building', 'ground', 'committee', 'approves', 'student', 'housing', 'discusses', 'new', 'art', 'center']"
Allison McVey elected next UJC chair,News,allison mcvey elected next ujc chair,"['allison', 'mcvey', 'elected', 'next', 'ujc', 'chair']"
Honor Committee plans Dorm Talks and finals week initiatives,News,honor committee plans dorm talks and finals week initiatives,"['honor', 'committee', 'plan', 'dorm', 'talk', 'final', 'week', 'initiative']"
IFC suspends social and new member activities for three weeks after alleged hazing incident at Kappa Sigma fraternity,News,ifc suspends social and new member activities for three weeks after alleged hazing incident at kappa sigma fraternity,"['ifc', 'suspends', 'social', 'new', 'member', 'activity', 'three', 'week', 'alleged', 'hazing', 'incident', 'kappa', 'sigma', 'fraternity']"
From the Archives: Law and Politics,News,from the archives law and politics,"['archive', 'law', 'politics']"
Student Council passes proclamation to partner with U.Va. Wise SGA,News,student council passes proclamation to partner with uva wise sga,"['student', 'council', 'pass', 'proclamation', 'partner', 'uva', 'wise', 'sga']"
Charlottesville community protests University President Jim Ryan’s resignation,News,charlottesville community protests university president jim ryans resignation,"['charlottesville', 'community', 'protest', 'university', 'president', 'jim', 'ryans', 'resignation']"
Student hot-spots on the Corner raise prices in response to increased operating costs,News,student hotspots on the corner raise prices in response to increased operating costs,"['student', 'hotspot', 'corner', 'raise', 'price', 'response', 'increased', 'operating', 'cost']"
From the archives: Sep. 30 – Oct. 6,News,from the archives sep   oct ,"['archive', 'sep', 'oct']"
University terminates special status agreement with Guide Service,News,university terminates special status agreement with guide service,"['university', 'terminates', 'special', 'status', 'agreement', 'guide', 'service']"
Guide Service officially restarts historical tours independently of the University,News,guide service officially restarts historical tours independently of the university,"['guide', 'service', 'officially', 'restarts', 'historical', 'tour', 'independently', 'university']"
Shooting reported at intersection of Grady Avenue and 12th Street Northwest,News,shooting reported at intersection of grady avenue and th street northwest,"['shooting', 'reported', 'intersection', 'grady', 'avenue', 'th', 'street', 'northwest']"
Craig Kent resigns as CEO of U.Va. Health after external review delivered to Board,News,craig kent resigns as ceo of uva health after external review delivered to board,"['craig', 'kent', 'resigns', 'ceo', 'uva', 'health', 'external', 'review', 'delivered', 'board']"
From The Archives: Performing Arts (March 24 – March 30),News,from the archives performing arts march   march ,"['archive', 'performing', 'art', 'march', 'march']"
"UJC finalized 24 cases in the spring semester, 21 cases pending",News,ujc finalized  cases in the spring semester  cases pending,"['ujc', 'finalized', 'case', 'spring', 'semester', 'case', 'pending']"
U.Va. Speaking Center is back and offering free speaking resources for students,News,uva speaking center is back and offering free speaking resources for students,"['uva', 'speaking', 'center', 'back', 'offering', 'free', 'speaking', 'resource', 'student']"
U.Va. researchers identify that HIV drugs can protect against Alzheimer’s disease,News,uva researchers identify that hiv drugs can protect against alzheimers disease,"['uva', 'researcher', 'identify', 'hiv', 'drug', 'protect', 'alzheimers', 'disease']"
"Davis, Wetmore clash over 2025-26 budget in Finance Committee meeting",News,davis wetmore clash over  budget in finance committee meeting,"['davis', 'wetmore', 'clash', 'budget', 'finance', 'committee', 'meeting']"
"Student Council kicks off new administrative term, confirms new executives",News,student council kicks off new administrative term confirms new executives,"['student', 'council', 'kick', 'new', 'administrative', 'term', 'confirms', 'new', 'executive']"
Charlottesville sidewalk expansion hopes to increase pedestrian safety around the city,News,charlottesville sidewalk expansion hopes to increase pedestrian safety around the city,"['charlottesville', 'sidewalk', 'expansion', 'hope', 'increase', 'pedestrian', 'safety', 'around', 'city']"
‘That’s not reform’: Free speech groups urged Mahoney to reject the Compact,News,thats not reform free speech groups urged mahoney to reject the compact,"['thats', 'reform', 'free', 'speech', 'group', 'urged', 'mahoney', 'reject', 'compact']"
Clay Dickerson wins Student Council presidential race with 53.8 percent of votes,News,clay dickerson wins student council presidential race with  percent of votes,"['clay', 'dickerson', 'win', 'student', 'council', 'presidential', 'race', 'percent', 'vote']"
Health System Board discusses two recent $25 million donations,News,health system board discusses two recent  million donations,"['health', 'system', 'board', 'discusses', 'two', 'recent', 'million', 'donation']"
From the archives: April 15 – April 21,News,from the archives april   april ,"['archive', 'april', 'april']"
Students and faculty plant forest patch outside Monroe Hall,News,students and faculty plant forest patch outside monroe hall,"['student', 'faculty', 'plant', 'forest', 'patch', 'outside', 'monroe', 'hall']"
Spring meal swipe drive aims to tackle food insecurity at the University,News,spring meal swipe drive aims to tackle food insecurity at the university,"['spring', 'meal', 'swipe', 'drive', 'aim', 'tackle', 'food', 'insecurity', 'university']"
Academic and Student Life Committee discusses undergraduate advising overhaul,News,academic and student life committee discusses undergraduate advising overhaul,"['academic', 'student', 'life', 'committee', 'discusses', 'undergraduate', 'advising', 'overhaul']"
Student Council passes bill to expand SET evaluation windows,News,student council passes bill to expand set evaluation windows,"['student', 'council', 'pass', 'bill', 'expand', 'set', 'evaluation', 'window']"
Summer Language Institute sees record high enrollment in its 45th year,News,summer language institute sees record high enrollment in its th year,"['summer', 'language', 'institute', 'see', 'record', 'high', 'enrollment', 'th', 'year']"
Students participate in the season of Lent on Grounds,News,students participate in the season of lent on grounds,"['student', 'participate', 'season', 'lent', 'ground']"
"Following Ryan’s resignation, faculty gather to discuss next steps",News,following ryans resignation faculty gather to discuss next steps,"['following', 'ryans', 'resignation', 'faculty', 'gather', 'discus', 'next', 'step']"
From the Archives: Extremely Serious Topics (Mar. 31 - April 6),News,from the archives extremely serious topics mar   april ,"['archive', 'extremely', 'serious', 'topic', 'mar', 'april']"
"“If AI can write, why should we?”: Vauhini Vara speaks on the role of AI in writing",News,if ai can write why should we vauhini vara speaks on the role of ai in writing,"['ai', 'write', 'vauhini', 'vara', 'speaks', 'role', 'ai', 'writing']"
"As Board prepares to meet, questions surface over if it is doing so lawfully",News,as board prepares to meet questions surface over if it is doing so lawfully,"['board', 'prepares', 'meet', 'question', 'surface', 'lawfully']"
"Student Council hears from Chief Creative Officer Matt Weber, discusses fundraising",News,student council hears from chief creative officer matt weber discusses fundraising,"['student', 'council', 'hears', 'chief', 'creative', 'officer', 'matt', 'weber', 'discusses', 'fundraising']"
Faculty Senate hears presentation on “culture of fear” at School of Medicine,News,faculty senate hears presentation on culture of fear at school of medicine,"['faculty', 'senate', 'hears', 'presentation', 'culture', 'fear', 'school', 'medicine']"
From the Archives: Extracurriculars,News,from the archives extracurriculars,"['archive', 'extracurriculars']"
From the archives: Oct. 14 – Oct. 20,News,from the archives oct   oct ,"['archive', 'oct', 'oct']"
"University community reflects on two-year anniversary of Nov. 13, 2022 shooting",News,university community reflects on twoyear anniversary of nov   shooting,"['university', 'community', 'reflects', 'twoyear', 'anniversary', 'nov', 'shooting']"
Scott Beardsley appointed U.Va.'s 10th president,News,scott beardsley appointed uvas th president,"['scott', 'beardsley', 'appointed', 'uvas', 'th', 'president']"
"HRL removes DEI from resident staff training, restructures multiculturalism committee",News,hrl removes dei from resident staff training restructures multiculturalism committee,"['hrl', 'remove', 'dei', 'resident', 'staff', 'training', 'restructures', 'multiculturalism', 'committee']"
Student Council passes resolution to uphold student voices during presidential search,News,student council passes resolution to uphold student voices during presidential search,"['student', 'council', 'pass', 'resolution', 'uphold', 'student', 'voice', 'presidential', 'search']"
CavEd program lets Hoos design and teach their own courses,News,caved program lets hoos design and teach their own courses,"['caved', 'program', 'let', 'hoos', 'design', 'teach', 'course']"
Faculty Senate reviews results of faculty salary study,News,faculty senate reviews results of faculty salary study,"['faculty', 'senate', 'review', 'result', 'faculty', 'salary', 'study']"
Honor Committee debates Counsel training for new sanctioning process,News,honor committee debates counsel training for new sanctioning process,"['honor', 'committee', 'debate', 'counsel', 'training', 'new', 'sanctioning', 'process']"
"Audit, Compliance and Risk Committee reviews School of Medicine investigation",News,audit compliance and risk committee reviews school of medicine investigation,"['audit', 'compliance', 'risk', 'committee', 'review', 'school', 'medicine', 'investigation']"
Students share their thoughts on U.Va. Dine’s new meal exchange options,News,students share their thoughts on uva dines new meal exchange options,"['student', 'share', 'thought', 'uva', 'dines', 'new', 'meal', 'exchange', 'option']"
Students weigh in on America’s future after Trump victory,News,students weigh in on americas future after trump victory,"['student', 'weigh', 'america', 'future', 'trump', 'victory']"
Faculty Senate calls for an external review of May 4 clearing of encampment,News,faculty senate calls for an external review of may  clearing of encampment,"['faculty', 'senate', 'call', 'external', 'review', 'may', 'clearing', 'encampment']"
"Honor Committee amends vacancy policy, plans for support officer recruitment",News,honor committee amends vacancy policy plans for support officer recruitment,"['honor', 'committee', 'amends', 'vacancy', 'policy', 'plan', 'support', 'officer', 'recruitment']"
Gregory Perryman steps into Board of Visitors role with student voices in mind,News,gregory perryman steps into board of visitors role with student voices in mind,"['gregory', 'perryman', 'step', 'board', 'visitor', 'role', 'student', 'voice', 'mind']"
Who is Interim President Paul G. Mahoney?,News,who is interim president paul g mahoney,"['interim', 'president', 'paul', 'g', 'mahoney']"
"Sen. Tim Kaine speaks to U.Va. students, discusses Ryan resignation and more",News,sen tim kaine speaks to uva students discusses ryan resignation and more,"['sen', 'tim', 'kaine', 'speaks', 'uva', 'student', 'discusses', 'ryan', 'resignation']"
University presidential search committee begins reviewing candidates,News,university presidential search committee begins reviewing candidates,"['university', 'presidential', 'search', 'committee', 'begin', 'reviewing', 'candidate']"
Deeds sends additional letter to U.Va. Board seeking answers on Ryan’s resignation,News,deeds sends additional letter to uva board seeking answers on ryans resignation,"['deed', 'sends', 'additional', 'letter', 'uva', 'board', 'seeking', 'answer', 'ryans', 'resignation']"
U.Va. reduces Theta Chi’s FOA termination from four years to one,News,uva reduces theta chis foa termination from four years to one,"['uva', 'reduces', 'theta', 'chi', 'foa', 'termination', 'four', 'year', 'one']"
Students and professors adapt to no-tech classrooms,News,students and professors adapt to notech classrooms,"['student', 'professor', 'adapt', 'notech', 'classroom']"
Students call for the University to reject the Trump administration’s Compact,News,students call for the university to reject the trump administrations compact,"['student', 'call', 'university', 'reject', 'trump', 'administration', 'compact']"
"Committee on U.Va. Wise hears from faculty representative, discusses growth",News,committee on uva wise hears from faculty representative discusses growth,"['committee', 'uva', 'wise', 'hears', 'faculty', 'representative', 'discusses', 'growth']"
U.Va. Health launches Center for Smell and Taste,News,uva health launches center for smell and taste,"['uva', 'health', 'launch', 'center', 'smell', 'taste']"
U.Va. to seek external firm in search for 10th president,News,uva to seek external firm in search for th president,"['uva', 'seek', 'external', 'firm', 'search', 'th', 'president']"
Shots fired reported on 900 block of Page Street,News,shots fired reported on  block of page street,"['shot', 'fired', 'reported', 'block', 'page', 'street']"
"Senate votes down more Youngkin nominees, likely leaving five vacancies on the Board",News,senate votes down more youngkin nominees likely leaving five vacancies on the board,"['senate', 'vote', 'youngkin', 'nominee', 'likely', 'leaving', 'five', 'vacancy', 'board']"
Middle Grounds event sparks student dialogue on political violence and polarization,News,middle grounds event sparks student dialogue on political violence and polarization,"['middle', 'ground', 'event', 'spark', 'student', 'dialogue', 'political', 'violence', 'polarization']"
Formal sorority recruitment comes to an end,News,formal sorority recruitment comes to an end,"['formal', 'sorority', 'recruitment', 'come', 'end']"
Nine deans ask U.Va. Board of Visitors to pause selection of 10th president,News,nine deans ask uva board of visitors to pause selection of th president,"['nine', 'dean', 'ask', 'uva', 'board', 'visitor', 'pause', 'selection', 'th', 'president']"
From the archives: April 8 – April 14,News,from the archives april   april ,"['archive', 'april', 'april']"
Honor Committee amends appeal and noncompliance policies,News,honor committee amends appeal and noncompliance policies,"['honor', 'committee', 'amends', 'appeal', 'noncompliance', 'policy']"
University Democrats’s support for divestment initiative sparks internal controversy,News,university democratss support for divestment initiative sparks internal controversy,"['university', 'democratss', 'support', 'divestment', 'initiative', 'spark', 'internal', 'controversy']"
"Education Rights Institute commemorates one year anniversary, 60 years of Title VI",News,education rights institute commemorates one year anniversary  years of title vi,"['education', 'right', 'institute', 'commemorates', 'one', 'year', 'anniversary', 'year', 'title', 'vi']"
Faculty discuss Ryan’s resignation at a United Campus Workers town hall,News,faculty discuss ryans resignation at a united campus workers town hall,"['faculty', 'discus', 'ryans', 'resignation', 'united', 'campus', 'worker', 'town', 'hall']"
University and Charlottesville community members Run For Jim one last time,News,university and charlottesville community members run for jim one last time,"['university', 'charlottesville', 'community', 'member', 'run', 'jim', 'one', 'last', 'time']"
"U.Va. receives clean FY 2025 audit opinion, marking end of multi-year material weakness",News,uva receives clean fy  audit opinion marking end of multiyear material weakness,"['uva', 'receives', 'clean', 'fy', 'audit', 'opinion', 'marking', 'end', 'multiyear', 'material', 'weakness']"
Board of Visitors approves increased tuition and other rates for 2025-26 school year,News,board of visitors approves increased tuition and other rates for  school year,"['board', 'visitor', 'approves', 'increased', 'tuition', 'rate', 'school', 'year']"
Student Council passes resolution to increase dining options at School of Law,News,student council passes resolution to increase dining options at school of law,"['student', 'council', 'pass', 'resolution', 'increase', 'dining', 'option', 'school', 'law']"
"Welcome back to Grounds, Hoos — here’s what happened while you were gone",News,welcome back to grounds hoos  heres what happened while you were gone,"['welcome', 'back', 'ground', 'hoos', 'here', 'happened', 'gone']"
UJC sees “major influx” of cases with 38 adjudicated so far this term,News,ujc sees major influx of cases with  adjudicated so far this term,"['ujc', 'see', 'major', 'influx', 'case', 'adjudicated', 'far', 'term']"
U.Va. students and physicians team up for another year of free kidney screenings,News,uva students and physicians team up for another year of free kidney screenings,"['uva', 'student', 'physician', 'team', 'another', 'year', 'free', 'kidney', 'screening']"
From the Archives: Nature on Grounds (April 21 – April 27),News,from the archives nature on grounds april   april ,"['archive', 'nature', 'ground', 'april', 'april']"
"After being hazed, A-school fraternity chooses to disaffiliate and rebrand",News,after being hazed aschool fraternity chooses to disaffiliate and rebrand,"['hazed', 'aschool', 'fraternity', 'chooses', 'disaffiliate', 'rebrand']"
U.Va. to pay $9 million to Nov. 13 shooting victims and their families,News,uva to pay  million to nov  shooting victims and their families,"['uva', 'pay', 'million', 'nov', 'shooting', 'victim', 'family']"
False report of active shooter placed U.Va. on lockdown Monday,News,false report of active shooter placed uva on lockdown monday,"['false', 'report', 'active', 'shooter', 'placed', 'uva', 'lockdown', 'monday']"
Opening convocation: Signing the Honor scroll and learning first amendment rights,News,opening convocation signing the honor scroll and learning first amendment rights,"['opening', 'convocation', 'signing', 'honor', 'scroll', 'learning', 'first', 'amendment', 'right']"
